"","pmid","year","labels","phrase","highest_pvalue","group"
"27141",24284609,2013,2011,"""approaching significance""",0.054,">=0.05-0.15"
"27151",26549714,2015,2014,"""a nonsignificant trend""",0.06,">=0.05-0.15"
"27171",29698111,2018,2017,"""a statistical trend""",0.086,">=0.05-0.15"
"27181",11602026,2001,1999,"""a significant trend""",0.05,">=0.05-0.15"
"27191",9174473,1997,1996,"""nearly significant""",0.061,">=0.05-0.15"
"27211",12199791,2002,2002,"""tended to be significant""",0.07,">=0.05-0.15"
"27221",17563401,2007,2005,"""nominally significant""",0.05,">=0.05-0.15"
"27231",9150581,1997,1996,"""near-significant""",0.076,">=0.05-0.15"
"27241",19531212,2009,2008,"""a strong trend""",0.059,">=0.05-0.15"
"27251",27896461,2016,2014,"""a slight trend""",0.17,">=0.15"
"27261",30041173,2019,2017,"""only slightly missed the level of significance""",0.052,">=0.05-0.15"
"27271",1430613,1992,1990,"""reached borderline significance""",0.07,">=0.05-0.15"
"27281",28598402,2017,2017,"""tended to be significant""",0.07,">=0.05-0.15"
"27291",28749734,2018,2017,"""slightly significant""",0.045,"<0.05"
"27301",12509211,2002,2002,"""fell just short of significance""",0.09,">=0.05-0.15"
"27311",24991914,2014,2014,"""approaching significance""",0.05,">=0.05-0.15"
"27321",18270335,2008,2008,"""a possible trend""",0.13,">=0.15"
"27331",14739661,2004,2002,"""not highly significant""",0.036,"<0.05"
"27341",22945623,2012,2011,"""a nonsignificant trend""",0.07,">=0.05-0.15"
"27351",7948455,1994,1993,"""a nonsignificant trend""",0.06,">=0.05-0.15"
"27381",23731437,2013,2011,"""approaching significance""",0.065,">=0.05-0.15"
"27391",20351372,2010,2008,"""a decreasing trend""",0.058,">=0.05-0.15"
"27401",8649552,1996,1996,"""nearly significant""",0.06,">=0.05-0.15"
"27411",15036054,2004,2002,"""near-significant""",0.06,">=0.05-0.15"
"27421",25728689,2015,2014,"""approaches statistical significance""",0.06,">=0.05-0.15"
"27431",28449601,2017,2017,"""a slight trend""",0.06,">=0.05-0.15"
"27451",9272800,1997,1996,"""fell just short of significance""",0.06,">=0.05-0.15"
"27461",17877851,2007,2005,"""significant tendency""",0.1,">=0.15"
"27491",22664935,2012,2011,"""a significant trend""",0.007,"<0.05"
"27501",10443964,1999,1999,"""almost significant""",0.059,">=0.05-0.15"
"27511",19050582,2008,2008,"""on the threshold of significance""",0.06,">=0.05-0.15"
"27521",19202235,2009,2008,"""on the border of significance""",0.07,">=0.05-0.15"
"27551",16670650,2006,2005,"""almost significant""",0.064,">=0.05-0.15"
"27561",16259308,2005,2005,"""a strong trend""",0.07,">=0.05-0.15"
"27571",16338625,2005,2005,"""almost reached statistical significance""",0.06,">=0.05-0.15"
"27581",19811112,2009,2008,"""a statistical trend""",0.08,">=0.05-0.15"
"27591",9706861,1998,1996,"""almost significant""",0.05,">=0.05-0.15"
"27601",17213274,2007,2005,"""nominally significant""",0.002,"<0.05"
"27611",12825872,2003,2002,"""a significant trend""",0.01,"<0.05"
"27621",11955465,2002,2002,"""a nonsignificant trend""",0.065,">=0.05-0.15"
"27641",21921278,2011,2011,"""a strong trend""",0.051,">=0.05-0.15"
"27651",27855099,2016,2014,"""potentially significant""",0.2,">=0.15"
"27661",25305506,2015,2014,"""a strong trend""",0.0238,"<0.05"
"27681",12219864,2002,2002,"""only marginally significant""",0.07,">=0.05-0.15"
"27691",15817727,2005,2005,"""almost statistically significant""",0.06,">=0.05-0.15"
"27701",15728282,2005,2005,"""a strong trend""",0.11,">=0.15"
"27711",14642472,2003,2002,"""a nonsignificant trend""",0.068,">=0.05-0.15"
"27741",16597731,2006,2005,"""a statistical trend""",0.05,">=0.05-0.15"
"27771",16547345,2007,2005,"""a nonsignificant trend""",0.07,">=0.05-0.15"
"27791",17934840,2008,2008,"""a strong trend""",0.0778,">=0.05-0.15"
"27801",28402745,2017,2017,"""nominally significant""",0.005,"<0.05"
"27811",25205864,2014,2014,"""nominally significant""",0.05,">=0.05-0.15"
"27841",20882929,2010,2008,"""a strong trend""",0.051,">=0.05-0.15"
"27871",7669712,1995,1993,"""at the limit of significance""",0.05,">=0.05-0.15"
"27881",11865969,2002,2002,"""marginal significance""",0.0322,"<0.05"
"27891",17975231,2007,2005,"""approaches statistical significance""",0.12,">=0.15"
"27901",10764301,2000,1999,"""just failed to reach statistical significance""",0.07,">=0.05-0.15"
"27911",17148584,2007,2005,"""approaches statistical significance""",0.078,">=0.05-0.15"
"27941",18343607,2008,2008,"""near-significant""",0.081,">=0.05-0.15"
"27951",15452681,2005,2005,"""a nonsignificant trend""",0.061,">=0.05-0.15"
"27961",22715143,2012,2011,"""a strong trend""",0.06,">=0.05-0.15"
"27971",9820298,1998,1996,"""did not quite achieve significance""",0.06,">=0.05-0.15"
"27981",26756395,2016,2014,"""approaching significance""",0.827,">=0.15"
"27991",19616196,2009,2008,"""only marginally significant""",0.06,">=0.05-0.15"
"28021",16773037,2007,2005,"""a strong trend""",0.04,"<0.05"
"28031",9586854,1998,1996,"""nearly significant""",0.08,">=0.05-0.15"
"28061",12946111,2003,2002,"""nearly significant""",0.052,">=0.05-0.15"
"28071",20028948,2010,2008,"""near-significant""",0.08,">=0.05-0.15"
"28091",27761917,2017,2017,"""approaching conventional statistical significance""",0.08,">=0.05-0.15"
"28121",23084789,2013,2011,"""a strong trend""",0.06,">=0.05-0.15"
"28131",19033545,2009,2008,"""a strong trend""",0.06,">=0.05-0.15"
"28141",10694138,2000,1999,"""just failed to reach statistical significance""",0.056,">=0.05-0.15"
"28171",29086614,2018,2017,"""a strong trend""",0.09,">=0.05-0.15"
"28181",29568206,2018,2017,"""nearly significant""",0.06,">=0.05-0.15"
"28201",19041041,2008,2008,"""a nonsignificant trend""",0.1,">=0.15"
"28221",23670995,2013,2011,"""a significant trend""",0.011,"<0.05"
"28231",15337557,2004,2002,"""marginally statistically significant""",0.067,">=0.05-0.15"
"28241",24602997,2014,2014,"""marginally nonsignificant""",0.053,">=0.05-0.15"
"28271",22632809,2013,2011,"""almost significant""",0.09,">=0.05-0.15"
"28281",20484157,2010,2008,"""a strong trend""",0.08,">=0.05-0.15"
"28291",22110714,2011,2011,"""marginal significance""",0.08,">=0.05-0.15"
"28321",9704717,1998,1996,"""only marginally significant""",0.09,">=0.05-0.15"
"28341",24393375,2014,2014,"""nominally significant""",0.041,"<0.05"
"28351",8775253,1996,1996,"""only marginally significant""",0.04,"<0.05"
"28361",18605178,2008,2008,"""nearly significant""",0.06,">=0.05-0.15"
"28371",23938312,2013,2011,"""moderately significant""",0.028,"<0.05"
"28391",23531374,2013,2011,"""a significant trend""",0.001,"<0.05"
"28401",29749688,2018,2017,"""at the edge of significance""",0.055,">=0.05-0.15"
"28411",20074703,2010,2008,"""a nonsignificant trend""",0.063,">=0.05-0.15"
"28421",19531212,2009,2008,"""a strong trend""",0.057,">=0.05-0.15"
"28431",16267121,2006,2005,"""marginally nonsignificant""",0.085,">=0.05-0.15"
"28461",30019528,2018,2017,"""marginally statistically significant""",0.1,">=0.15"
"28471",23443360,2013,2011,"""near significance""",0.06,">=0.05-0.15"
"28491",17083910,2007,2005,"""tended toward significance""",0.072,">=0.05-0.15"
"28501",25345731,2015,2014,"""near-significant""",0.05,">=0.05-0.15"
"28511",30354935,2018,2017,"""a possible trend""",0.1,">=0.15"
"28531",17572579,2007,2005,"""just failed to reach statistical significance""",0.053,">=0.05-0.15"
"28541",17307935,2007,2005,"""a nonsignificant trend""",0.05,">=0.05-0.15"
"28571",15066065,2004,2002,"""a significant trend""",0.036,"<0.05"
"28581",7632462,1995,1993,"""slightly significant""",0.0564,">=0.05-0.15"
"28591",10347103,1999,1999,"""nearly significant""",0.07,">=0.05-0.15"
"28601",22614720,2012,2011,"""almost significant""",0.054,">=0.05-0.15"
"28621",1310103,1992,1990,"""approaching significance""",0.064,">=0.05-0.15"
"28631",19875471,2010,2008,"""marginal significance""",0.07,">=0.05-0.15"
"28641",12601502,2003,2002,"""near-significant""",0.053,">=0.05-0.15"
"28651",15170529,2004,2002,"""approaching significance""",0.07,">=0.05-0.15"
"28671",28076358,2017,2017,"""approaching significance""",0.057,">=0.05-0.15"
"28691",24666170,2015,2014,"""a clear trend""",0.06,">=0.05-0.15"
"28701",11796769,2002,2002,"""just short of significance""",0.08,">=0.05-0.15"
"28711",16801564,2006,2005,"""nearly significant""",0.071,">=0.05-0.15"
"28731",20727238,2011,2011,"""almost significant""",0.07,">=0.05-0.15"
"28741",21908986,2011,2011,"""slightly significant""",0.04,"<0.05"
"28751",30160436,2019,2017,"""near-significant""",0.059,">=0.05-0.15"
"28781",23528164,2013,2011,"""nearly significant""",0.0623,">=0.05-0.15"
"28791",25909982,2015,2014,"""a strong trend""",0.066,">=0.05-0.15"
"28801",10694138,2000,1999,"""just failed to reach statistical significance""",0.056,">=0.05-0.15"
"28811",27509035,2016,2014,"""a nonsignificant trend""",0.08,">=0.05-0.15"
"28821",9741512,1998,1996,"""a strong trend""",0.08,">=0.05-0.15"
"28851",22884611,2013,2011,"""a marginal trend toward significance""",0.1,">=0.15"
"28861",23262179,2013,2011,"""a nonsignificant trend""",0.06,">=0.05-0.15"
"28871",26309134,2015,2014,"""nearing significance""",0.051,">=0.05-0.15"
"28881",16368828,2006,2005,"""marginal significance""",0.049,"<0.05"
"28931",16157900,2005,2005,"""a strong trend""",0.054,">=0.05-0.15"
"28951",29542262,2018,2017,"""only marginally significant""",0.05,">=0.05-0.15"
"28971",25892658,2015,2014,"""a nonsignificant trend""",0.1,">=0.15"
"28991",24475840,2014,2014,"""a significant trend""",2e-04,"<0.05"
"29001",26523993,2015,2014,"""a statistical trend""",0.08,">=0.05-0.15"
"29011",15809408,2005,2005,"""a nonsignificant trend""",0.05,">=0.05-0.15"
"29031",16212684,2005,2005,"""a significant trend""",0.074,">=0.05-0.15"
"29041",26309134,2015,2014,"""nearing significance""",0.08,">=0.05-0.15"
"29051",12145006,2002,2002,"""nearly significant""",0.08,">=0.05-0.15"
"29081",26011424,2015,2014,"""a strong trend""",0.063,">=0.05-0.15"
"29091",14985677,2004,2002,"""marginal significance""",0.07,">=0.05-0.15"
"29101",27145084,2016,2014,"""a trend that approached significance""",0.08,">=0.05-0.15"
"29111",18483475,2008,2008,"""a statistical trend""",0.09,">=0.05-0.15"
"29121",17394048,2007,2005,"""almost reached statistical significance""",0.05,">=0.05-0.15"
"29131",27503036,2017,2017,"""near significance""",0.056,">=0.05-0.15"
"29141",9794747,1998,1996,"""almost approached significance""",0.058,">=0.05-0.15"
"29151",19545479,2009,2008,"""approaching significance""",0.1,">=0.15"
"29161",9194006,1997,1996,"""significant tendency""",0.05,">=0.05-0.15"
"29171",25051294,2014,2014,"""near-significant""",0.055,">=0.05-0.15"
"29191",20406900,2010,2008,"""a strong trend""",0.07,">=0.05-0.15"
"29201",17868195,2008,2008,"""a significant trend""",0.01,"<0.05"
"29211",24620828,2014,2014,"""almost significant""",0.051,">=0.05-0.15"
"29221",27482750,2016,2014,"""a statistical trend""",0.09,">=0.05-0.15"
"29231",30891657,2019,2017,"""marginally statistically significant""",0.095,">=0.05-0.15"
"29241",8481745,1993,1993,"""almost significant""",0.0653,">=0.05-0.15"
"29261",24995688,2014,2014,"""at the edge of significance""",0.03,"<0.05"
"29271",24244445,2013,2011,"""significant tendency""",0.64,">=0.15"
"29281",28857770,2018,2017,"""very nearly significant""",0.085,">=0.05-0.15"
"29291",9351649,1997,1996,"""almost significant""",0.08,">=0.05-0.15"
"29301",15304960,2004,2002,"""weakly significant""",0.022,"<0.05"
"29331",30871496,2019,2017,"""a possible trend""",0.14,">=0.15"
"29341",23758673,2013,2011,"""nearly significant""",0.079,">=0.05-0.15"
"29351",22624251,2012,2011,"""a strong trend""",0.074,">=0.05-0.15"
"29361",20664891,2010,2008,"""reached borderline significance""",0.05,">=0.05-0.15"
"29381",7480556,1995,1993,"""a mild trend""",0.1,">=0.15"
"29391",8281847,1994,1993,"""a strong trend""",0.059,">=0.05-0.15"
"29401",21861719,2011,2011,"""only marginally significant""",0.08,">=0.05-0.15"
"29421",20007932,2010,2008,"""nearly significant""",0.0654,">=0.05-0.15"
"29441",28786987,2017,2017,"""nearly significant tendency""",0.057,">=0.05-0.15"
"29451",14654455,2004,2002,"""significant tendency""",0.077,">=0.05-0.15"
"29461",16009690,2005,2005,"""a statistical trend""",0.1,">=0.15"
"29481",10517342,1999,1999,"""almost significant""",0.06,">=0.05-0.15"
"29491",30646209,2019,2017,"""only marginally significant""",0.05,">=0.05-0.15"
"29501",22624291,2012,2011,"""a marginal trend""",0.07,">=0.05-0.15"
"29511",23240706,2013,2011,"""not formally significant""",0.44,">=0.15"
"29521",30232048,2018,2017,"""nominally significant""",1e-04,"<0.05"
"29531",8564425,1995,1993,"""marginal significance""",0.05,">=0.05-0.15"
"29541",17302877,2007,2005,"""a statistical trend""",0.07,">=0.05-0.15"
"29591",24933002,2014,2014,"""significant tendency""",0.222,">=0.15"
"29601",24072754,2013,2011,"""just failed to reach statistical significance""",0.08,">=0.05-0.15"
"29611",30981663,2019,2017,"""almost reached statistical significance""",0.07,">=0.05-0.15"
"29641",16563208,2006,2005,"""approaching significance""",0.08,">=0.05-0.15"
"29661",9797797,1998,1996,"""almost reached statistical significance""",0.051,">=0.05-0.15"
"29671",12088702,2002,2002,"""weak significance""",0.04,"<0.05"
"29681",9557601,1998,1996,"""an unfavorable trend""",0.15,">=0.15"
"29691",7948054,1994,1993,"""a decreasing trend""",0.09,">=0.05-0.15"
"29721",23172001,2013,2011,"""close to being significant""",0.088,">=0.05-0.15"
"29731",17761330,2007,2005,"""near-significant""",0.053,">=0.05-0.15"
"29741",15988705,2005,2005,"""reached borderline significance""",0.085,">=0.05-0.15"
"29751",16157415,2005,2005,"""only marginally significant""",0.07,">=0.05-0.15"
"29761",10513498,1999,1999,"""just failed to reach statistical significance""",0.028,"<0.05"
"29771",17439907,2007,2005,"""a statistical trend""",0.015,"<0.05"
"29781",17412448,2007,2005,"""tended to be significant""",0.04,"<0.05"
"29791",14585017,2003,2002,"""only marginally significant""",0.01,"<0.05"
"29801",12374454,2002,2002,"""marginal significance""",0.15,">=0.15"
"29811",21472441,2011,2011,"""almost significant""",0.11,">=0.15"
"29821",29377186,2018,2017,"""only marginally significant""",0.091,">=0.05-0.15"
"29831",22947179,2013,2011,"""only marginally significant""",0.05,">=0.05-0.15"
"29841",11113797,2000,1999,"""approaching significance""",0.06,">=0.05-0.15"
"29851",12366871,2002,2002,"""nominally significant""",0.06,">=0.05-0.15"
"29861",22442069,2012,2011,"""a statistical trend""",0.09,">=0.05-0.15"
"29871",31474462,2020,2020,"""marginal significance""",0.052,">=0.05-0.15"
"29881",15265539,2004,2002,"""nearly significant""",0.064,">=0.05-0.15"
"29891",20837777,2010,2008,"""only marginally significant""",0.08,">=0.05-0.15"
"29911",29698111,2018,2017,"""a statistical trend""",0.09,">=0.05-0.15"
"29921",12529661,2003,2002,"""only marginally significant""",0.095,">=0.05-0.15"
"29931",24367124,2014,2014,"""fell short of significance""",0.16,">=0.15"
"29941",26452168,2016,2014,"""significant tendency""",0.0555,">=0.05-0.15"
"29951",12411834,2002,2002,"""barely significant""",0.05,">=0.05-0.15"
"29961",22046722,2011,2011,"""almost significant""",0.051,">=0.05-0.15"
"29971",29166321,2018,2017,"""a strong trend""",0.055,">=0.05-0.15"
"29981",24411228,2014,2014,"""marginal significance""",0.09,">=0.05-0.15"
"30001",28215242,2017,2017,"""nearly significant""",0.07,">=0.05-0.15"
"30011",29139337,2017,2017,"""a nonsignificant trend""",0.08,">=0.05-0.15"
"30021",8936891,1996,1996,"""an overall trend""",0.06,">=0.05-0.15"
"30031",19032459,2009,2008,"""marginal significance""",0.1,">=0.15"
"30041",8780073,1996,1996,"""marginally statistically significant""",0.06,">=0.05-0.15"
"30051",22144347,2012,2011,"""a nonsignificant trend""",0.06,">=0.05-0.15"
"30061",18250126,2008,2008,"""just short of significance""",0.07,">=0.05-0.15"
"30081",29988125,2018,2017,"""a nonsignificant trend""",0.083,">=0.05-0.15"
"30121",10686266,2000,1999,"""almost significant""",0.1,">=0.15"
"30151",25570941,2014,2014,"""weakly significant""",0.02,"<0.05"
"30161",30981585,2019,2017,"""approaching significance""",0.1,">=0.15"
"30171",11869760,2001,1999,"""nearly significant""",0.052,">=0.05-0.15"
"30181",12782208,2003,2002,"""marginally nonsignificant""",0.056,">=0.05-0.15"
"30201",15777325,2005,2005,"""a strong trend""",0.07,">=0.05-0.15"
"30211",31600715,2019,2017,"""very close to significant""",0.067,">=0.05-0.15"
"30221",26684923,2016,2014,"""fell short of significance""",0.07,">=0.05-0.15"
"30231",11781675,2001,1999,"""possibly significant""",0.05,">=0.05-0.15"
"30241",1854617,1991,1990,"""a significant trend""",0.001,"<0.05"
"30261",12508190,2003,2002,"""a definite trend""",0.097,">=0.05-0.15"
"30271",11606503,2001,1999,"""a significant trend""",0.015,"<0.05"
"30281",23217729,2013,2011,"""almost significant""",0.06,">=0.05-0.15"
"30301",9581724,1998,1996,"""tended toward significance""",0.06,">=0.05-0.15"
"30311",17898990,2007,2005,"""nominally significant""",0.02,"<0.05"
"30321",8000960,1994,1993,"""a significant trend""",1e-04,"<0.05"
"30331",28967099,2018,2017,"""a nonsignificant trend""",0.06,">=0.05-0.15"
"30341",25442039,2014,2014,"""a significant trend""",0.004,"<0.05"
"30351",16236864,2005,2005,"""significant tendency""",0.12,">=0.15"
"30361",28437675,2017,2017,"""nominally significant""",0.05,">=0.05-0.15"
"30371",25498565,2014,2014,"""a suggestive trend""",0.06,">=0.05-0.15"
"30391",22023670,2012,2011,"""a nonsignificant trend""",0.14,">=0.15"
"30401",9453400,1998,1996,"""a decreasing trend""",0.001,"<0.05"
"30411",15193680,2004,2002,"""a strong trend""",0.06,">=0.05-0.15"
"30431",27913796,2017,2017,"""near-significant""",0.015,"<0.05"
"30451",16371630,2005,2005,"""nominally significant""",0.05,">=0.05-0.15"
"30461",17262850,2007,2005,"""a borderline significant trend""",0.0702,">=0.05-0.15"
"30471",18797468,2008,2008,"""a slight trend""",0.07,">=0.05-0.15"
"30501",25379022,2014,2014,"""trend bordering on statistical significance""",0.054,">=0.05-0.15"
"30511",23371807,2013,2011,"""only marginally significant""",0.068,">=0.05-0.15"
"30521",1736033,1992,1990,"""tendency toward significance""",0.06,">=0.05-0.15"
"30531",9159724,1997,1996,"""almost significant""",0.081,">=0.05-0.15"
"30541",23286421,2013,2011,"""nearly significant""",0.06,">=0.05-0.15"
"30551",26218521,2015,2014,"""a negative trend""",0.0065,"<0.05"
"30561",23208074,2013,2011,"""nominally significant""",0.02,"<0.05"
"30571",22216169,2011,2011,"""at the margin of statistical significance""",0.042,"<0.05"
"30581",17687266,2008,2008,"""a nonsignificant trend""",0.07,">=0.05-0.15"
"30641",12554024,2003,2002,"""marginal significance""",0.06,">=0.05-0.15"
"30661",11057354,2000,1999,"""a statistical trend""",0.1,">=0.15"
"30671",14761117,2003,2002,"""marginal significance""",0.07,">=0.05-0.15"
"30681",12056936,2002,2002,"""near-significant""",0.054,">=0.05-0.15"
"30701",21848573,2012,2011,"""fell just short of statistical significance""",0.07,">=0.05-0.15"
"30711",20860662,2010,2008,"""a clear trend""",0.0603,">=0.05-0.15"
"30721",30865629,2019,2017,"""marginally statistically significant""",0.053,">=0.05-0.15"
"30731",10430717,1999,1999,"""nearly significant""",0.076,">=0.05-0.15"
"30741",27188688,2016,2014,"""only marginally significant""",0.0556,">=0.05-0.15"
"30751",17363838,2007,2005,"""significant tendency""",0.089,">=0.05-0.15"
"30761",22008301,2011,2011,"""a strong trend""",0.02,"<0.05"
"30771",22537073,2012,2011,"""a statistical trend""",0.07,">=0.05-0.15"
"30791",18075468,2007,2005,"""a strong trend""",0.07,">=0.05-0.15"
"30801",23407260,2014,2014,"""a nonsignificant trend""",0.125,">=0.15"
"30811",16100941,2005,2005,"""only marginally significant""",0.067,">=0.05-0.15"
"30821",11545752,2001,1999,"""a nonsignificant trend""",0.29,">=0.15"
"30831",7596261,1995,1993,"""tended toward significance""",0.079,">=0.05-0.15"
"30841",24574125,2014,2014,"""almost reached statistical significance""",0.09,">=0.05-0.15"
"30851",29568206,2018,2017,"""nearly significant""",0.052,">=0.05-0.15"
"30861",15994575,2005,2005,"""almost significant""",0.06,">=0.05-0.15"
"30871",23113511,2012,2011,"""not as significant""",0.001,"<0.05"
"30881",9485980,1997,1996,"""approaching significance""",0.056,">=0.05-0.15"
"30901",29497287,2018,2017,"""just shy of significance""",0.1,">=0.15"
"30911",21289261,2011,2011,"""a statistical trend""",0.1,">=0.15"
"30921",21183746,2011,2011,"""nominally significant""",0.009,"<0.05"
"30931",28637470,2017,2017,"""almost statistically significant""",0.05,">=0.05-0.15"
"30941",9256570,1997,1996,"""a trend that approached significance""",0.058,">=0.05-0.15"
"30951",31386987,2019,2017,"""a statistical trend""",0.061,">=0.05-0.15"
"30961",17540594,2007,2005,"""almost significant""",0.052,">=0.05-0.15"
"30981",9052343,1997,1996,"""a statistical trend""",0.1,">=0.15"
"30991",24642235,2014,2014,"""a decreasing trend""",0.001,"<0.05"
"31001",24862085,2014,2014,"""almost reached statistical significance""",0.07,">=0.05-0.15"
"31011",18351428,2008,2008,"""a significant trend""",0.03,"<0.05"
"31041",15530763,2004,2002,"""nearly significant""",0.06,">=0.05-0.15"
"31071",16608131,2006,2005,"""approached significant""",0.06,">=0.05-0.15"
"31081",1852797,1991,1990,"""a strong trend""",0.09,">=0.05-0.15"
"31111",9491583,1998,1996,"""near-significant""",0.08,">=0.05-0.15"
"31121",12468609,2002,2002,"""tended to be significant""",0.07,">=0.05-0.15"
"31141",16942975,2006,2005,"""a nonsignificant trend""",0.075,">=0.05-0.15"
"31151",22261988,2012,2011,"""slightly significant""",0.02,"<0.05"
"31161",23937688,2013,2011,"""nearly significant""",0.054,">=0.05-0.15"
"31191",22072950,2011,2011,"""near-significant""",0.077,">=0.05-0.15"
"31211",12698315,2003,2002,"""nearly significant""",0.071,">=0.05-0.15"
"31251",23786793,2013,2011,"""nearly significant""",0.06,">=0.05-0.15"
"31261",22866821,2012,2011,"""not fully significant""",0.12,">=0.15"
"31271",31865895,2020,2020,"""a clear trend""",0.056,">=0.05-0.15"
"31281",19727022,2009,2008,"""a strong trend""",0.055,">=0.05-0.15"
"31301",15145467,2004,2002,"""approaching significance""",0.08,">=0.05-0.15"
"31311",8698952,1996,1996,"""nominally significant""",0.05,">=0.05-0.15"
"31321",8978450,1996,1996,"""only marginally significant""",0.051,">=0.05-0.15"
"31331",12518167,2003,2002,"""near significance""",0.06,">=0.05-0.15"
"31341",19369910,2009,2008,"""suggestively significant""",0.084,">=0.05-0.15"
"31351",20308357,2010,2008,"""a strong trend""",0.07,">=0.05-0.15"
"31361",15812606,2005,2005,"""a statistical trend""",0.07,">=0.05-0.15"
"31371",10714047,2000,1999,"""marginal significance""",0.06,">=0.05-0.15"
"31381",26861924,2016,2014,"""nominally significant""",0.05,">=0.05-0.15"
"31401",19130489,2009,2008,"""a nonsignificant trend""",0.085,">=0.05-0.15"
"31421",11885184,2000,1999,"""nearly significant""",0.051,">=0.05-0.15"
"31431",26121696,2015,2014,"""only marginally significant""",0.086,">=0.05-0.15"
"31441",12467956,2002,2002,"""almost significant""",0.057,">=0.05-0.15"
"31461",31141968,2019,2017,"""almost significant""",0.08,">=0.05-0.15"
"31481",10613778,2000,1999,"""a significant trend""",0.05,">=0.05-0.15"
"31491",21700944,2011,2011,"""a nonsignificant trend""",0.1,">=0.15"
"31501",22969230,2012,2011,"""nearly significant""",0.05,">=0.05-0.15"
"31521",17414914,2007,2005,"""tendency toward statistical significance""",0.07,">=0.05-0.15"
"31531",12877701,2003,2002,"""a nonsignificant trend""",0.4,">=0.15"
"31541",18571624,2008,2008,"""nearly significant""",0.06,">=0.05-0.15"
"31551",24072965,2013,2011,"""a nonsignificant trend""",0.075,">=0.05-0.15"
"31571",16712591,2006,2005,"""almost significant""",0.05,">=0.05-0.15"
"31581",27640999,2017,2017,"""near-significant""",0.056,">=0.05-0.15"
"31621",19696435,2010,2008,"""nearly significant""",0.11,">=0.15"
"31631",22298804,2012,2011,"""almost reached statistical significance""",0.06,">=0.05-0.15"
"31641",24899160,2014,2014,"""a strong trend""",0.06,">=0.05-0.15"
"31651",24041858,2013,2011,"""a significant trend""",0.005,"<0.05"
"31661",20647773,2010,2008,"""a nonsignificant trend""",0.07,">=0.05-0.15"
"31671",12804849,2003,2002,"""a significant trend""",0.42,">=0.15"
"31691",12589449,2003,2002,"""nearly significant""",0.0576,">=0.05-0.15"
"31701",31262319,2019,2017,"""approaching significance""",0.054,">=0.05-0.15"
"31711",9160847,1997,1996,"""nearly significant""",0.068,">=0.05-0.15"
"31721",16236891,2005,2005,"""nearly significant""",0.053,">=0.05-0.15"
"31731",26315857,2015,2014,"""on the borderline of significance""",0.078,">=0.05-0.15"
"31741",29934046,2018,2017,"""almost significant""",0.06,">=0.05-0.15"
"31751",26258597,2015,2014,"""nearly significant""",0.06,">=0.05-0.15"
"31761",19528195,2009,2008,"""a nonsignificant trend""",0.09,">=0.05-0.15"
"31771",22674719,2012,2011,"""nearing significance""",0.06,">=0.05-0.15"
"31791",29995935,2018,2017,"""only marginally significant""",0.08,">=0.05-0.15"
"31811",31374985,2019,2017,"""almost statistically significant""",0.05,">=0.05-0.15"
"31861",30126153,2018,2017,"""almost significant""",0.055,">=0.05-0.15"
"31881",26426148,2015,2014,"""a nonsignificant trend""",0.11,">=0.15"
"31891",21289261,2011,2011,"""a statistical trend""",0.1,">=0.15"
"31901",9272800,1997,1996,"""nearly significant""",0.1,">=0.15"
"31911",8986200,1996,1996,"""a nonsignificant trend""",0.071,">=0.05-0.15"
"31931",17631698,2007,2005,"""a statistical trend""",0.063,">=0.05-0.15"
"31971",21811866,2012,2011,"""narrowly missed significance""",0.053,">=0.05-0.15"
"31981",19604499,2009,2008,"""almost significant""",0.06,">=0.05-0.15"
"31991",19852540,2010,2008,"""almost reached statistical significance""",0.0835,">=0.05-0.15"
"32001",23435801,2013,2011,"""a strong trend""",0.05,">=0.05-0.15"
"32011",22253903,2012,2011,"""almost significant""",0.053,">=0.05-0.15"
"32031",24509214,2014,2014,"""a nonsignificant trend""",0.134,">=0.15"
"32041",8907098,1996,1996,"""approaching significance""",0.07,">=0.05-0.15"
"32051",21908986,2011,2011,"""only slightly significant""",0.04,"<0.05"
"32061",14646367,2003,2002,"""marginal significance""",0.06,">=0.05-0.15"
"32071",1904477,1991,1990,"""a significant trend""",0.001,"<0.05"
"32081",10862204,2000,1999,"""approaching significance""",0.06,">=0.05-0.15"
"32101",24043266,2014,2014,"""an overall trend""",0.04,"<0.05"
"32121",19054570,2009,2008,"""a slight trend""",0.055,">=0.05-0.15"
"32131",25772743,2015,2014,"""marginal significance""",0.057,">=0.05-0.15"
"32141",25100359,2014,2014,"""almost significant""",0.02,"<0.05"
"32151",1456564,1992,1990,"""nearly significant""",0.16,">=0.15"
"32171",29525494,2018,2017,"""a significant trend""",0.001,"<0.05"
"32181",17683212,2007,2005,"""a marginal trend""",0.06,">=0.05-0.15"
"32191",7991337,1994,1993,"""only marginally significant""",0.05,">=0.05-0.15"
"32201",10343785,1999,1999,"""tended to be significant""",0.057,">=0.05-0.15"
"32221",24657993,2014,2014,"""a nonsignificant trend""",0.1,">=0.15"
"32231",25139063,2015,2014,"""nearly significant""",0.06,">=0.05-0.15"
"32251",12470133,2002,2002,"""approaching significance""",0.09,">=0.05-0.15"
"32271",29128898,2018,2017,"""a marginal trend""",0.051,">=0.05-0.15"
"32281",15962332,2005,2005,"""near significance""",0.06,">=0.05-0.15"
"32291",19741604,2009,2008,"""a marginal trend""",0.065,">=0.05-0.15"
